chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-08,agosto/2025,248879.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-09,setembro/2025,246324.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-10,outubro/2025,242813.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-11,novembro/2025,243005.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-12,dezembro/2025,240407.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2026-01,janeiro/2026,237766.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2026-02,fevereiro/2026,233721.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2026-03,março/2026,228703.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2026-04,abril/2026,228232.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2026-05,maio/2026,225266.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2023-07,07/2023,416995.000000,zero_km,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2023-08,agosto/2023,395311.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2023-09,setembro/2023,393136.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2023-10,outubro/2023,391366.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2023-11,novembro/2023,389604.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2023-12,dezembro/2023,387967.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-01,janeiro/2024,387113.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-02,fevereiro/2024,384248.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-03,março/2024,397696.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-04,abril/2024,402395.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-05,maio/2024,389902.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-06,junho/2024,403548.000000,usado,,,,,
002213-6|32000|gasolina|excluir,toyota|corolla|gr|gasolina|excluir,002213-6,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,32000,Gasolina,2024-07,julho/2024,398775.000000,usado,,,,,
